English lemma,Swedish lemma,POS,status
coordination,koordination,N,automatically verified
spoon,sked,N,automatically verified
utensil,bestick,N,automatically verified
disability aid,hjälpmedel,NP,automatically verified
shape adaptation,formanpassning,NP,automatically verified
optical character recognition,optisk teckenigenkänning,NP,automatically verified
document analysis,dokumentanalys,NP,automatically verified
inflow,inflöde,N,automatically verified
battery energy storage system,batterienergilagringssystem,NP,automatically verified
reliability evaluation,tillförlitlighets evaluering,NP,suspected särskriving
maintenance strategy,underhållsstrategi,NP,automatically verified
condition monitoring,tillståndsövervakning,NP,automatically verified
fault detection,feldetektering,NP,automatically verified
fault diagnosis,feldiagnos,NP,automatically verified
stator winding fault,statorlindningsfel,NP,automatically verified
inter-turn fault,kortslutning mellan varv,NP,no processing rule for swedish POS sequence
failure mode,felläge,NP,automatically verified
condition monitoring,tillståndsövervakning,NP,automatically verified
motor current,motorström,NP,automatically verified
confidential computing,konfidentiell databehandling,NP,could not lemmatize swedish adjective
confidential machine learning,konfidentiellt maskininlärning,NP,no processing rule for swedish POS sequence
cloud technology,molnteknik,NP,automatically verified
federated learning,federerad inlärning,NP,could not lemmatize swedish adjective
trusted execution environment,betrodd körningsmiljö,NP,automatically verified
distributed system,distribuerat system,NP,automatically verified
restful apis,restful apis,NP,automatically verified
diva,diva,N,automatically verified
calendar announcement,kalender,NP,automatically verified
knowledge graph construction,kunskapsgrafkonstruktion,NP,automatically verified
information extraction,informationsextraktion,NP,automatically verified
consensus algorithms,consensus algoritms,NP,no processing rule for swedish POS sequence
hybrid consensus,hybrid consensus,NP,could not lemmatize swedish adjective
satellite constellation design,satellitkonstellationsdesign,NP,automatically verified
satellite constellation optimization,optimering av satellitkonstellationer,NP,no processing rule for swedish POS sequence
step-by-step solution,steg-för-steg-lösningar,NP,automatically verified
high school mathematics,gymnasiematematik,NP,automatically verified
communication system,kommunikationssystem,NP,automatically verified
payment system,betalningssystem,NP,automatically verified
financial institution,finansiell institution,NP,automatically verified
decentralization,decentralisering,N,automatically verified
active participation,aktiv medverkan,NP,automatically verified
engagement,engagemang,N,automatically verified
interactive technology,interaktiv teknik,NP,automatically verified
mobile technology,mobil teknik,NP,automatically verified
green advertisement,grön reklam,NP,automatically verified
consumer perception,konsumentuppfattning,NP,automatically verified
automobile industry,bilindustri,NP,automatically verified
sustainability awareness,hållbarhetsmedvetenhet,NP,automatically verified
monolithic design,monolitisk design,NP,could not lemmatize swedish adjective
application isolation,applikationsisolering,NP,automatically verified
virtual machine,virtuell maskin,NP,automatically verified
propaganda,propaganda,N,automatically verified
medium,media,N,automatically verified
opinion,opinion,N,automatically verified
russian society,ryskt samhälle,NP,automatically verified
auto-completion,automatisk komplettering,NP,automatically verified
hardware development language,hårdvarubeskrivningsspråk,NP,automatically verified
ordering,ordning,N,automatically verified
plausibility check,rimlighetskontroll,NP,automatically verified
android application security,android-applikationssäkerhet,NP,automatically verified
vulnerability detection,upptäckt av sårbarheter,NP,no processing rule for swedish POS sequence
model-based security testing,modellbaserad säkerhetstestning,NP,automatically verified
affective recognition,affektiv igenkänning,NP,automatically verified
genetic algorithms,genetisk algoritm,NP,automatically verified
k-fold cross validation,k-delad korsvalidering,NP,automatically verified
language model,språkmodell,NP,automatically verified
large language model,stor språkmodell,NP,automatically verified
text summarization,textsammanfattning,NP,automatically verified
dialogue summarization,sammanfattning av dialog,NP,no processing rule for swedish POS sequence
prompt design,design för inmatningsprompt,NP,no processing rule for swedish POS sequence
prompt programming,inmatningsprompt programmering,NP,could not lemmatize swedish adjective
rehearsal buffer,repeteringsbuffert,NP,automatically verified
self-driving vehicle,självkörande fordon,NP,no processing rule for swedish POS sequence
continual learning,stegvis inlärning,NP,no processing rule for swedish POS sequence
biomedical image classification,biomedicinsk bildklassificering,NP,automatically verified
continuous integration,kontinuerlig integration,NP,automatically verified
embedded software development,inbyggd programvaruutveckling,NP,automatically verified
modular firmware architecture,modulär fastvara arkitektur,NP,suspected särskriving
software quality,programvarukvalitet,NP,automatically verified
static analysis,statisk analys,NP,automatically verified
rule violation,regelbrott,NP,automatically verified
automated repair,automatisk reparation,NP,automatically verified
safety constraint,säkerhetsbegränsning,NP,automatically verified
ros implementation,ros-implementering,NP,automatically verified
formation control,formations kontroll,NP,suspected särskriving
control barrier function,kontroll barriär funktion,NP,suspected särskriving
connectivity maintenance,underhåll av anslutningsmöjligheter,NP,no processing rule for swedish POS sequence
vehicle stability,fordonsstabilitet,NP,automatically verified
vehicle model,fordonsmodell,NP,automatically verified
real-time performance,prestanda i realtid,NP,no processing rule for swedish POS sequence
magnetic material,magnetiskt material,NP,automatically verified
sinusoidal excitation,sinusformad excitation,NP,could not lemmatize swedish adjective
conversion rate optimization,konverteringsoptimering,NP,automatically verified
quantitative research,kvantitativ studie,NP,automatically verified
interaction design,interaktionsdesign,NP,automatically verified
computer vision,datorseende,NP,automatically verified
fish ladder,fisktrappa,NP,automatically verified
imbalance problem,obalans,NP,automatically verified
imbalanced data,obalanserad data,NP,automatically verified
age monitoring,övervakning av ålder,NP,no processing rule for swedish POS sequence
3d formation control,3d formationskontroll,NP,no processing rule for swedish POS sequence
spacecraft formation flying,rymdfarkostformationsflygning,NP,automatically verified
prescribed performance control,föreskriven prestandakontroll,NP,automatically verified
vision-based sensing,synbaserad avkänning,NP,automatically verified
renewable energy,förnybar energi,NP,could not lemmatize swedish adjective
energy storage,energilagring,NP,automatically verified
smart grid,smart elnät,NP,automatically verified
base station,basstation,NP,automatically verified
random forest,beslutsträdsinlärning,NP,automatically verified
coreference resolution,koreferenslösning,NP,automatically verified
corporate social network,företagsbaserade sociala nätverk,NP,no processing rule for swedish POS sequence
enterprise social network,företagsinriktade sociala nätverk,NP,no processing rule for swedish POS sequence
platform,plattform,N,automatically verified
financial service,försäkring,NP,automatically verified
insurance,återförsäkring,N,automatically verified
knowledge sharing,kunskapsdelning,NP,automatically verified
social,social,A,automatically verified
knowledge management,kunskapshantering,NP,automatically verified
knowledge management system,kunskapshanteringssystem,NP,automatically verified
information spreading,informationsspridning,NP,automatically verified
system evaluation,systemutvärdering,NP,automatically verified
network dimensioning,nätverksdimensionering,NP,automatically verified
cost structure,kostnadsstruktur,NP,automatically verified
counterfactual,kontrafaktisk analys,NP,could not lemmatize swedish adjective
causal analysis,orsaksanalys,NP,automatically verified
single page application,ensidig applikation,NP,automatically verified
graph database,grafdatabas,NP,automatically verified
unit test,enhetstest,NP,automatically verified
test creation,testskapande,NP,automatically verified
test maintenance,testunderhåll,NP,automatically verified
user experience design,användarupplevelse design,NP,suspected särskriving
user interface design,användargränssnitt design,NP,suspected särskriving
trust in voting system,tillit till röstningssystem,NP,no processing rule for swedish POS sequence
electronic voting system,elektroniskt röstningssystem,NP,automatically verified
explanation system,förklaringssystem,NP,automatically verified
user testing,användartester,NP,automatically verified
qualitative research,kvalitativ forskning,NP,automatically verified
creativity,kreativitet,N,automatically verified
art,konst,N,automatically verified
society,samhälle,N,automatically verified
mind,sinne,N,automatically verified
artist,konstnär,N,automatically verified
credit modeling,kreditmodellering,NP,automatically verified
behavioral data,beteendedata,NP,automatically verified
feature engineering,funktionsteknik,NP,automatically verified
crest factor,toppfaktor,NP,automatically verified
high level synthesis,högnivåsyntes,NP,automatically verified
object oriented programming,undersökningen av designalternativ,NP,no processing rule for swedish POS sequence
cellular network,mobilnät,NP,automatically verified
cross-layer optimization,optimering i flera lager,NP,no processing rule for swedish POS sequence
resource-constrained edge device,resursbegränsad edge-enheter,NP,automatically verified
concurrent application,samtidigt program,NP,automatically verified
localization,lokalisering,N,automatically verified
satellite communication,satellit kommunikationsnät,NP,suspected särskriving
cross-layer optimization,kors-nivå optimering,NP,suspected särskriving
traffic engineering,trafikteknik,NP,automatically verified
resource reservation,resurs reservation,NP,suspected särskriving
aggregation,aggregering,N,automatically verified
audio-visual perception,audiovisuell perception,NP,could not lemmatize swedish adjective
colour grading,färgsättning,NP,automatically verified
motion,rörelse,N,automatically verified
emotion,känsla,N,automatically verified
knocking sound,knackningsljud,NP,automatically verified
code generation,kodgenerering,NP,automatically verified
parallel computing,parallell beräkning,NP,automatically verified
current servo,strömregulator,NP,automatically verified
cascade control,kaskadreglering,NP,automatically verified
ventilator,respirator,N,automatically verified
electronic fuse,elektronisk säkring,NP,automatically verified
current sensing,strömmätning,NP,automatically verified
shunt resistor,strömavkänningsmotstånd,NP,automatically verified
survival analysis,överlevnadsanalys,NP,automatically verified
customer clustering,kundkluster,NP,automatically verified
contraction hierarchy,kontraktionshierarkier,NP,automatically verified
vehicle routing problem,ruttplanering,NP,automatically verified
battery electric vehicle,batteridrivet elfordon,NP,automatically verified
mixed fleet,blandad fordonsflotta,NP,automatically verified
temporal graphs,temporal grafer,NP,automatically verified
heterogeneous graphs,heterogen grafer,NP,automatically verified
provenance graphs,härkomstgrafer,NP,automatically verified
detection system,detektionssystem,NP,automatically verified
flight simulator,flygsimulator,NP,automatically verified
image de-fencing,avstängning av bilder,NP,no processing rule for swedish POS sequence
fence removal,borttagning av staket,NP,no processing rule for swedish POS sequence
algorithm,algoritm,N,automatically verified
user behavior,användarbeteende,NP,automatically verified
time synchronization,tidssynkronisering,NP,automatically verified
data augmentation,dataförstoring,NP,automatically verified
data imbalance,data obalans,NP,suspected särskriving
data blending,data hantering,NP,suspected särskriving
feature engineering,funktionsteknik,NP,automatically verified
structured query language,strukturerat frågespråk,NP,automatically verified
missing data handling,saknade datahantering,NP,no processing rule for swedish POS sequence
safety,säkerhet,N,automatically verified
autonomous heavy-duty vehicle,autonom lastbil,NP,automatically verified
system identification,systemidentifiering,NP,automatically verified
quality assurance,kvalitetssäkring,NP,automatically verified
data collection,datainsamling,NP,automatically verified
unmanned aerial vehicle,obemannat luftfordon,NP,automatically verified
data harvesting,datainsamling,NP,automatically verified
obstacle avoidance,undvikande av hinder,NP,no processing rule for swedish POS sequence
path planning,vägplanering,NP,automatically verified
data injection,datainjektion,NP,automatically verified
electronic control unit,styrenhet,NP,automatically verified
delay,fördröjning,N,automatically verified
embedded system,inbyggt system,NP,automatically verified
data race detection,detektion av datakapplöpning,NP,no processing rule for swedish POS sequence
dynamic analysis,dynamisk analys,NP,automatically verified
hydrogen battery,vätebatteri,NP,automatically verified
data,datavetenskap,N,automatically verified
numerical model,numerisk modell,NP,automatically verified
synthetic data,syntetiskt data,NP,automatically verified
parallel file system,parallellt filsystem,NP,automatically verified
distributed file system,distribuerat filsystem,NP,automatically verified
storage system,lagringssystem,NP,automatically verified
low power consumption,låg energiförbrukning,NP,automatically verified
low cost device,lågkostnadsenheter,NP,automatically verified
synchronous,synkron,A,automatically verified
participatory sensing,deltagande avkänning,NP,no processing rule for swedish POS sequence
data trustworthiness assessment,bedömning av uppgifternas tillförlitlighet,NP,suspected särskriving
traffic prediction,trafikprognoser,NP,automatically verified
software testing,mjukvarutestning,NP,automatically verified
regression testing,regressionstestning,NP,automatically verified
test result,test resultat,NP,suspected särskriving
quality assurance,kvalitetssäkring,NP,automatically verified
market research,marknadsundersökning,NP,automatically verified
market potential,marknadspotential,NP,automatically verified
deep learning network,djupinlärning nätverk,NP,suspected särskriving
smart inverter,smart växelriktare,NP,automatically verified
distributed system,distribuerat system,NP,automatically verified
drift,drift,N,automatically verified
dynamic baseline calibration,dynamisk baslinjekalibrering,NP,automatically verified
time series analysis,tidsserieanalys,NP,automatically verified
data-driven modeling,datadriven modellering,NP,automatically verified
model order reduction,modelordningsreducering,NP,automatically verified
state-space representation,tillståndsrepresentation,NP,automatically verified
antenna system response,antennsystemsvar,NP,automatically verified
interpolation,interpolering,N,automatically verified
motion planning,rörelseplanering,NP,automatically verified
nonuniform sampling,ojämn provtagning,NP,automatically verified
data-driven concept design,datadriven konceptdesign,NP,automatically verified
user research,användarforskning,NP,automatically verified
decision-making,beslutsfattande,N,automatically verified
autonomous vehicle,autonomt fordon,NP,automatically verified
automated safety,automatiserad säkerhet,NP,automatically verified
small sample size,litet dataurval,NP,automatically verified
project management,projektledning,NP,automatically verified
critical success factor,kritisk framgångsfaktor,NP,automatically verified
recursive feature elimination,rekursiv variabel eliminering,NP,no processing rule for swedish POS sequence
computer security,datasäkerhet,NP,automatically verified
battery energy storage system,batterienergilagringssystem,NP,automatically verified
fast charging,snabbladdning,NP,automatically verified
mobile battery system,mobilt batterisystem,NP,automatically verified
hardware,hårdvara,N,automatically verified
lead,led,V,automatically verified
gossip learning,skvallerinlärning,NP,automatically verified
decentralized machine learning,decentraliserad maskininlärning,NP,automatically verified
distributed machine learning,distribuerad maskininlärning,NP,automatically verified
data privacy,dataintegritet,NP,automatically verified
3d collaborative mapping,3d-samarbetskartläggning,NP,automatically verified
drone,drönare,N,automatically verified
solar photovoltaic,solcell,NP,automatically verified
frequency stability,frekvensstabilitet,NP,automatically verified
decentralized secondary frequency control,decentraliserad sekundär frekvenskontroll,NP,no processing rule for swedish POS sequence
reserve allocation,reservallokering,NP,automatically verified
hybrid system,hybridsystem,NP,automatically verified
reproducible build,reproducerbart bygge,NP,automatically verified
collaborative intelligence,kollaborativ intelligens,NP,automatically verified
model checking,modeltestning,NP,automatically verified
highway driving scenario,scenario för motorvägskörning,NP,no processing rule for swedish POS sequence
prediction algorithm,prediktionsalgoritm,NP,automatically verified
cluster,kluster,N,automatically verified
location based service,platsbaserad tjänst,NP,automatically verified
deep active learning,faltningsnätverk,NP,automatically verified
sampling strategy,semiövervakat lärande,NP,could not lemmatize swedish adjective
masking,maskering,N,automatically verified
ensemble,ensemble,N,automatically verified
knowledge distillation,kunskaps destillering,NP,suspected särskriving
absolute localization,absolut lokalisering,NP,automatically verified
visual localization,visuell lokalisering,NP,automatically verified
football detection,fotbollsdetektering,NP,automatically verified
video super-resolution,video super-resolution,NP,suspected särskriving
satellite image time series,tidsserier av satellitbilder,NP,no processing rule for swedish POS sequence
remote sensing,fjärranalys,NP,automatically verified
prediction,förutsägelse,N,automatically verified
electrical power,elektrisk effekt,NP,automatically verified
arterial blood pressure,arteriellt blodtryck,NP,could not lemmatize swedish adjective
pairs trading,parhandel,NP,automatically verified
structural break,strukturellt brott,NP,automatically verified
time-series classification,klassificering av tidsserier,NP,no processing rule for swedish POS sequence
synthetic data,syntetiskt data,NP,automatically verified
earth observation,jordobservation,NP,automatically verified
empirical asset pricing,empirisk tillgångsvärdering,NP,automatically verified
representation learning,representationsinlärning,NP,automatically verified
high-level synthesis,högnivåsyntes,NP,automatically verified
route planning,ruttplanering,NP,automatically verified
shortest path algorithms,algoritmer för att finna kortaste väg,NP,no processing rule for swedish POS sequence
road network,vägnät,NP,automatically verified
human-robot collaboration,människa-robot-samarbete,NP,automatically verified
electroencephalogram signal,elektroencefalogram-signal,NP,automatically verified
signal processing feature extraction,signalförädlingsfunktionsutvinning,NP,automatically verified
deep learning method,djupinlärningsmetod,NP,automatically verified
channel estimation,kanaluppskattning,NP,automatically verified
sparse linear inverse problem,sparsamt linjärt inversproblem,NP,no processing rule for swedish POS sequence
tactical decision making,taktiskt beslutsfattande,NP,automatically verified
fuel reduction,bränslereduktion,NP,automatically verified
high-level decision making,beslut på hög nivå,NP,no processing rule for swedish POS sequence
autonomous driving,autonom körning,NP,automatically verified
building control,byggnadskontroll,NP,automatically verified
thermal discomfort,termiskt obehag,NP,automatically verified
operational cost,driftskostnad,NP,automatically verified
optimal attack,optimal attack,NP,automatically verified
energy efficiency,energieffektivitet,NP,automatically verified
environment-aware navigation,människomedveten navigering,NP,could not lemmatize swedish adjective
information extraction,informationsextraktion,NP,automatically verified
user study,användarstudie,NP,automatically verified
form,formulär,N,automatically verified
space weather,rymdväder,NP,automatically verified
solar wind,solvind,NP,automatically verified
magnetic measurement,magnetisk mätning,NP,automatically verified
solar activity,solaktivitet,NP,automatically verified
cluster analysis,klusteranalys,NP,automatically verified
signal separation,signal separation,NP,suspected särskriving
discrete event modelling,diskret modellering,NP,automatically verified
engineering industry,verkstadsindustri,NP,automatically verified
mechanical lock,mekaniskt lås,NP,automatically verified
disassembly,demontering,N,automatically verified
problematic dialogue system utterance,klassificering,NP,automatically verified
spoken dialogue system,problematiskt systemyttrande,NP,automatically verified
dense foot pose estimation,uppskattning av tät fotställning,NP,no processing rule for swedish POS sequence
dense correspondence,tät korrespondens,NP,automatically verified
question answering,frågesvar,NP,automatically verified
search engine,sökmotor,NP,automatically verified
load balancing,lastbalansering,NP,automatically verified
wireless network,trådlöst nätverk,NP,automatically verified
power control,strömkontroll,NP,automatically verified
aerial base station,antennbasstationer,NP,automatically verified
drone,drönare,N,automatically verified
atmosphere,atmosfär,N,automatically verified
infrared spectroscopy,infraröd spektroskopi,NP,automatically verified
descriptive search,deskriptiv sökning,NP,automatically verified
domain knowledge,domänkunskap,NP,automatically verified
extrinsic evaluation,indirekt utvärdering,NP,automatically verified
recommendation system,rekommendationssystem,NP,automatically verified
social application,social tillämpning,NP,automatically verified
sentiment classification,känslolägesklassificering,NP,automatically verified
emotion,känsla,N,automatically verified
finite element method,finita elementmetoden,NP,could not lemmatize swedish adjective
fractional slot concentrated winding,koncentrerad lindningar,NP,automatically verified
overload capability,momentrippel,NP,automatically verified
torque ripple,överbelastningskapacitet,NP,automatically verified
concentrated winding,avmagnetisering,NP,automatically verified
distributed winding,finita elementmetoden,NP,could not lemmatize swedish adjective
ferrite,fördelad lindningar,NP,automatically verified
loss distribution,koncentrerad lindningar,NP,automatically verified
permanent magnet,permanentmagneter,NP,automatically verified
reluctance torque,sällsynt jordmagneter,NP,automatically verified
temperature effect,temperatureffekt,NP,automatically verified
permanent magnet assistance,permanentmagnetassistans,NP,automatically verified
wireless power transfer,trådlös kraftöverföring,NP,automatically verified
skin effect,hudeffekt,NP,automatically verified
proximity effect,närhetseffekt,NP,automatically verified
electromagnetic induction,elektromagnetisk induktion,NP,automatically verified
electromagnetic resonance,elektromagnetisk resonans,NP,automatically verified
magnetic coupling,magnetisk koppling,NP,automatically verified
power efficiency,effekteffektivitet,NP,automatically verified
low power,låg effekt,NP,automatically verified
logging,loggning,N,automatically verified
power supply,strömförsörjning,NP,automatically verified
service placement,serviceplacering,NP,automatically verified
connection migration,anslutningsmigrering,NP,automatically verified
connection management,anslutningshantering,NP,automatically verified
user interface,användargränssnitt,NP,automatically verified
game,spel,N,automatically verified
user-generated content,användargenererat innehåll,NP,could not lemmatize swedish adjective
mobile network,mobilnät,NP,automatically verified
service discovery,tjänstupptäckt,NP,automatically verified
service selection,tjänsteval,NP,automatically verified
stable match algorithm,stabil matchningsalgoritm,NP,automatically verified
antenna design,antenndesign,NP,automatically verified
antenna simulation,antennsimulering,NP,automatically verified
data acquisition,datainsamling,NP,automatically verified
particulate matter filtration,partikelämnen filtrering,NP,suspected särskriving
filter quality evaluation,filter kvalitetsutvärdering,NP,suspected särskriving
finance,finans,N,automatically verified
assembly,montering,N,automatically verified
production environment,produktionsmiljö,NP,automatically verified
energy harvesting,energiinsamling,NP,automatically verified
printed circuit board,tryckt kretskort,NP,automatically verified
3d printing,3d utskrivning,NP,no processing rule for swedish POS sequence
fault-tolerant operation,feltolerant drift,NP,automatically verified
assembly manufacturing,monterings produktion,NP,suspected särskriving
automotive industry,fordonsindustri,NP,automatically verified
information system,information systems,NP,no processing rule for swedish POS sequence
downtime management,stopptidshantering,NP,automatically verified
harmful algal bloom,skadlig algblomning,NP,automatically verified
climate change,klimatförändring,NP,automatically verified
channel estimation,kanaluppskattning,NP,automatically verified
massive complex matrix inversion,massiva komplex matrisinversion,NP,no processing rule for swedish POS sequence
wear leveling,slitstyrka,NP,automatically verified
resonance,resonans,N,automatically verified
permanent-magnet synchronous generator,permanentmagnet synkrongenerator,NP,suspected särskriving
power conversion chain,effektomvandlingskedjan,NP,automatically verified
power take off,kraftuttag,NP,automatically verified
wave energy converter,vågenergiomvandlaren,NP,automatically verified
wave energy,vågenergi,NP,automatically verified
data center network,datacenternätverk,NP,automatically verified
optical circuit switching,optisk kretskoppling,NP,automatically verified
suspension,upphängning,N,automatically verified
disturbance torque,störmoment,NP,automatically verified
angular measurement,vinkelmätning,NP,automatically verified
converter design,konverterdesign,NP,automatically verified
efficiency estimation,effektivitetsuppskattning,NP,automatically verified
energy efficient communication protocol,energieffektivt kommunikationsprotokoll,NP,automatically verified
strain gauge,töjningsgivare,NP,automatically verified
touch sensor,vidröringssensor,NP,automatically verified
revisit time,återbesökstid,NP,automatically verified
coverage,täckning,N,automatically verified
optimized constellation,optimerad konstellation,NP,automatically verified
target list,mållista,NP,automatically verified
twin satellite concept,tvilling-satellit-koncept,NP,automatically verified
calendar,kalender,N,automatically verified
calendar system,kalendersystem,NP,automatically verified
booking system,bokningssystem,NP,automatically verified
ray tracing,strålspårning,NP,automatically verified
array antenna,gruppantenn,NP,automatically verified
lens antenna,linsantenn,NP,automatically verified
satellite communication,satellitkommunikation,NP,automatically verified
hand-held reader,handhållen läsare,NP,automatically verified
wireless power transfer,trådlös kraftöverföring,NP,automatically verified
inductive coupling,induktiv koppling,NP,could not lemmatize swedish adjective
level sensing,nivåavkänning,NP,automatically verified
liquid oxygen,flytande syre,NP,no processing rule for swedish POS sequence
vacuum chamber,vakuumkammare,NP,automatically verified
hollow cathode test,ihålig katod testa,NP,no processing rule for swedish POS sequence
fluid ground support equipment,flytande markstödutrustning,NP,no processing rule for swedish POS sequence
frequency selective surface,frekvensselektiv yta,NP,automatically verified
circular polarisation,cirkulär polarisering,NP,automatically verified
phased array antenna,fasstyrd gruppantenn,NP,automatically verified
next generation networking,nästa generations nätverk,NP,suspected särskriving
internet telephony,internet-telefoni,NP,automatically verified
service creation,utveckla tjänster,NP,no processing rule for swedish POS sequence
virtual machine,virtuell maskin,NP,automatically verified
amplifier,förstärkare,N,automatically verified
analog electronics,analog elektronik,NP,suspected särskriving
bipolar junction transistor,bipolär transistor,NP,automatically verified
measurement circuit,mätkrets,NP,automatically verified
satellite,satellit,N,automatically verified
electronics,elektronik,N,automatically verified
power supply,strömförsörjning,NP,automatically verified
boost converter,boost regulator,NP,no processing rule for swedish POS sequence
linear converter,linjär regulator,NP,automatically verified
safety button,säkerhetsknapp,NP,automatically verified
street harassment,kvinnors trakasserier,NP,suspected särskriving
interaction design,interaktionsdesign,NP,automatically verified
physical design,fysisk design,NP,automatically verified
video editing,videoredigering,NP,automatically verified
collaboration,samarbete,N,automatically verified
user interface design,design av användargränssnitt,NP,no processing rule for swedish POS sequence
workspace awareness,arbetsplatsmedvetenhet,NP,automatically verified
electric propulsion,elektrisk framdrivning,NP,automatically verified
frame,ram,N,automatically verified
thermal modelling,termisk modellering,NP,automatically verified
mechanical modelling,mekanisk modellering,NP,automatically verified
lumped-parameter model,klumpelementmodell,NP,automatically verified
design space exploration,designutrymmesutforskning,NP,automatically verified
periodically activated task,periodiskt aktiverade uppgifter,NP,no processing rule for swedish POS sequence
design system,design system,NP,suspected särskriving
ethical risk,etisk risk,NP,automatically verified
serious game,seriöst spel,NP,automatically verified
energy literacy,energikunskap,NP,automatically verified
kitchen consumption,kökskonsumtion,NP,automatically verified
interactive narrative,interaktiv berättelse,NP,automatically verified
china,kina,N,automatically verified
wireless sensor network,trådlöst sensornätverk,NP,automatically verified
demand forecast,efterfrågeprognostisering,NP,automatically verified
user-centric method,användarcentrerad metod,NP,could not lemmatize swedish adjective
service design,tjänstedesign,NP,automatically verified
food-delivery platform,matleveransplattform,NP,automatically verified
posture,kroppshållning,N,automatically verified
movement,förflyttning,N,automatically verified
network,nätverk,N,automatically verified
help desk software,ärendehanteringssystem,NP,automatically verified
business model,affärsmodell,NP,automatically verified
visually impaired,synskadad,NP,automatically verified
blind,blind,A,automatically verified
accessibility,tillgänglighet,N,automatically verified
conversational agent,konversationsagent,NP,automatically verified
conversational user interface,konversationsanvändargränssnitt,NP,automatically verified
software metric,mätvärde,NP,automatically verified
dashboard design,kontrollpanel,NP,automatically verified
information radiator,informationsradiator,NP,automatically verified
filter bubble,filter bubblor,NP,suspected särskriving
diversity,mångfald,N,automatically verified
attention span,uppmärksamhetspann,NP,automatically verified
autobiographical design,självbiografisk design,NP,automatically verified
exploratory design,utforskande design,NP,no processing rule for swedish POS sequence
design thinking,designtänkande,NP,automatically verified
digital financial service,digitala finansiella tjänster,NP,no processing rule for swedish POS sequence
young adult,unga vuxna,NP,no processing rule for swedish POS sequence
learning,lärande,N,automatically verified
design,design,N,automatically verified
interaction,interaktion,N,automatically verified
biodiversity,biologisk mångfald,NP,automatically verified
construction,konstruktion,N,automatically verified
workshop,verkstad,N,automatically verified
intent-based control,avsiktsbaserad kontroll,NP,automatically verified
trust in automation,pålitlig automatisering,NP,automatically verified
interface design,gränssnittsdesign,NP,automatically verified
research through design,forskning via design,NP,no processing rule for swedish POS sequence
sticky note,klisterlapp,NP,automatically verified
feature detection,funktionsdetektering,NP,automatically verified
feature matching,funktionsmatchning,NP,automatically verified
contour,kontur,N,automatically verified
perspective transformation,perspektivförvandling,NP,automatically verified
text detection,textigenkänning,NP,automatically verified
swedish healthcare,svensk sjukvård,NP,automatically verified
diagnostic,diagnostik,N,automatically verified
neuropsychological test,neuropsykiska tester,NP,could not lemmatize swedish adjective
rail defect detection,järnvägsfeldetektering,NP,automatically verified
rail image classification,järnvägsbildigenkänning,NP,automatically verified
rail joint,järnvägsskarvar,NP,automatically verified
enterprise architecture smell,verksamhetsarkitektursröta,NP,automatically verified
enterprise architecture debt,verksamhetsarkitektursskuld,NP,automatically verified
software architecture smell,mjukvaruarkitektursröta,NP,automatically verified
technical debt,teknisk skuld,NP,automatically verified
diffusion model,diffusionsmodeller,NP,automatically verified
line segment detector,linjesegmentdetektor,NP,automatically verified
environmental monitoring,miljöövervakning,NP,automatically verified
illegal gold mines detection,upptäckt av illegala guldgruvor,NP,no processing rule for swedish POS sequence
container,container,N,automatically verified
real-time application,realtidsapplikation,NP,automatically verified
scheduling,schemaläggning,N,automatically verified
quantum machine learning,kvantmaskininlärning,NP,automatically verified
magic state,magiskt kvanttillstånd,NP,automatically verified
random walk,slumpvandring,NP,automatically verified
quantum walk,kvantvandringar,NP,automatically verified
quantum speedup,kvantacceleration,NP,automatically verified
vulnerability detection,sårbarhetsdetektering,NP,automatically verified
open source software,programvara med öppen källkod,NP,no processing rule for swedish POS sequence
classification algorithms,klassificeringsalgoritm,NP,automatically verified
audio recording,ljudinspelning,NP,automatically verified
acoustic signal processing,akustisk signalbehandling,NP,automatically verified
tactical sensor system,taktiska sensor system,NP,suspected särskriving
sensor fusion,sensor fusion,NP,suspected särskriving
model based diagnostics,modellbaserad diagnostisering,NP,automatically verified
hypothesis testing,hypotesprövning,NP,automatically verified
suggestive image recognition,förslag på bildigenkänning,NP,no processing rule for swedish POS sequence
traffic flow,trafikflöde,NP,automatically verified
accident,olycka,N,automatically verified
weather,väder,N,automatically verified
prototype pollution,prototypförorening,NP,automatically verified
vulnerability detection,sårbarhetsdetektering,NP,automatically verified
request,prototyp,N,automatically verified
smart city,smart stad,NP,automatically verified
traffic,trafik,N,automatically verified
magnetic dipole estimation,magnetisk dipol uppskattning,NP,no processing rule for swedish POS sequence
attitude dynamic,attityddynamik,NP,automatically verified
reverse engineering,baklängeskonstruktion,NP,automatically verified
graphic intermediate representation,grafisk mellanrepresentationen,NP,automatically verified
graphical analytic system,grafiskt analytiskt system,NP,no processing rule for swedish POS sequence
high-level synthesis tool,högnivå syntes verktyg,NP,no processing rule for swedish POS sequence
application portfolio management,organisering av applikationsporfölj,NP,no processing rule for swedish POS sequence
application portfolio rationalization,rationalisering av applikationsportfölj,NP,no processing rule for swedish POS sequence
computer-based interlocking system,datorställverk,NP,automatically verified
test case,testfall,NP,automatically verified
test case generator,testfallsgenerator,NP,automatically verified
brain-machine interface,hjärna-maskin-gränssnitt,NP,automatically verified
prototype development,prototyputveckling,NP,automatically verified
